gene_id	transcript_id(s)	T1_R1	T1_R10	T1_R2	T1_R3	T1_R4	T1_R5	T1_R6	T1_R7	T1_R8	T1_R9
ENSOARG00020017135	ENSOART00020026365	1098.00	6256.00	403.00	400.00	749.00	373.00	3814.00	628.00	6113.00	5518.00
ENSOARG00020017136	ENSOART00020026387	5.00	16.00	17.00	36.00	45.00	42.00	5.00	33.00	8.00	19.00
ENSOARG00020017137	ENSOART00020027547	0.00	0.00	1.00	0.00	1.00	4.00	0.00	6.00	0.00	0.00
ENSOARG00020017138	ENSOART00020026368	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020017139	ENSOART00020026382	230.00	368.92	229.00	244.87	380.00	364.00	252.00	508.00	318.00	316.00
ENSOARG00020017140	ENSOART00020026371	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020017141	ENSOART00020026441	614.00	548.00	0.00	0.00	0.00	1.00	0.00	0.00	240.00	531.00
ENSOARG00020017142	ENSOART00020026373	203.00	350.00	149.00	179.00	119.00	216.00	581.00	173.00	392.00	443.00
ENSOARG00020017143	ENSOART00020026374	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020017144	ENSOART00020026351	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020017145	ENSOART00020026415,ENSOART00020026527,ENSOART00020026570	24.00	33.00	123.00	80.00	102.00	208.00	31.00	53.00	34.00	52.00
ENSOARG00020017146	ENSOART00020026356,ENSOART00020026446,ENSOART00020026506	496.00	381.00	923.00	591.00	724.00	890.00	97.00	954.00	530.00	77.00
ENSOARG00020017147	ENSOART00020026367	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020017148	ENSOART00020026413	92.00	30.00	302.00	203.00	290.00	372.00	3.00	234.00	106.00	20.00
ENSOARG00020017149	ENSOART00020026383,ENSOART00020026464	572.00	1372.00	387.00	484.00	935.00	526.00	903.00	654.00	1435.00	1102.00
ENSOARG00020017150	ENSOART00020026477,ENSOART00020026516,ENSOART00020026559,ENSOART00020026598	216.00	295.00	100.00	198.00	202.00	263.00	487.00	283.00	344.00	336.00
